,BATTING,Unnamed: 1,R,B,M,4s,6s,SR,Unnamed: 8,Unnamed: 9
6,Liam Livingstone,c Anuj Rawat b Akash Deep,19,10,26,0,2,190.00,,
7,,,,,,,,,,
8,Raj Bawa,lbw b Mohammed Siraj,0,1,3,0,0,0.00,,
9,,,,,,,,,,
10,M Shahrukh Khan,not out,24,20,37,1,2,120.00,,
11,Odean Smith,not out,25,8,24,1,3,312.50,,
12,Extras,"(lb 1, w 21)",22,,,,,,,
13,TOTAL,19 Ov (RR: 10.94),208/5,,,,,,,
14,"Did not bat: Harpreet Brar, Arshdeep Singh, Sandeep Sharma, Rahul Chahar","Did not bat: Harpreet Brar, Arshdeep Singh, Sandeep Sharma, Rahul Chahar","Did not bat: Harpreet Brar, Arshdeep Singh, Sandeep Sharma, Rahul Chahar","Did not bat: Harpreet Brar, Arshdeep Singh, Sandeep Sharma, Rahul Chahar","Did not bat: Harpreet Brar, Arshdeep Singh, Sandeep Sharma, Rahul Chahar","Did not bat: Harpreet Brar, Arshdeep Singh, Sandeep Sharma, Rahul Chahar","Did not bat: Harpreet Brar, Arshdeep Singh, Sandeep Sharma, Rahul Chahar","Did not bat: Harpreet Brar, Arshdeep Singh, Sandeep Sharma, Rahul Chahar","Did not bat: Harpreet Brar, Arshdeep Singh, Sandeep Sharma, Rahul Chahar",
15,"Fall of wickets: 1-71 (Mayank Agarwal, 7.1 ov), 2-118 (Shikhar Dhawan, 11.2 ov), 3-139 (Bhanuka Rajapaksa, 13.1 ov), 4-139 (Raj Bawa, 13.2 ov), 5-156 (Liam Livingstone, 14.5 ov)","Fall of wickets: 1-71 (Mayank Agarwal, 7.1 ov), 2-118 (Shikhar Dhawan, 11.2 ov), 3-139 (Bhanuka Rajapaksa, 13.1 ov), 4-139 (Raj Bawa, 13.2 ov), 5-156 (Liam Livingstone, 14.5 ov)","Fall of wickets: 1-71 (Mayank Agarwal, 7.1 ov), 2-118 (Shikhar Dhawan, 11.2 ov), 3-139 (Bhanuka Rajapaksa, 13.1 ov), 4-139 (Raj Bawa, 13.2 ov), 5-156 (Liam Livingstone, 14.5 ov)","Fall of wickets: 1-71 (Mayank Agarwal, 7.1 ov), 2-118 (Shikhar Dhawan, 11.2 ov), 3-139 (Bhanuka Rajapaksa, 13.1 ov), 4-139 (Raj Bawa, 13.2 ov), 5-156 (Liam Livingstone, 14.5 ov)","Fall of wickets: 1-71 (Mayank Agarwal, 7.1 ov), 2-118 (Shikhar Dhawan, 11.2 ov), 3-139 (Bhanuka Rajapaksa, 13.1 ov), 4-139 (Raj Bawa, 13.2 ov), 5-156 (Liam Livingstone, 14.5 ov)","Fall of wickets: 1-71 (Mayank Agarwal, 7.1 ov), 2-118 (Shikhar Dhawan, 11.2 ov), 3-139 (Bhanuka Rajapaksa, 13.1 ov), 4-139 (Raj Bawa, 13.2 ov), 5-156 (Liam Livingstone, 14.5 ov)","Fall of wickets: 1-71 (Mayank Agarwal, 7.1 ov), 2-118 (Shikhar Dhawan, 11.2 ov), 3-139 (Bhanuka Rajapaksa, 13.1 ov), 4-139 (Raj Bawa, 13.2 ov), 5-156 (Liam Livingstone, 14.5 ov)","Fall of wickets: 1-71 (Mayank Agarwal, 7.1 ov), 2-118 (Shikhar Dhawan, 11.2 ov), 3-139 (Bhanuka Rajapaksa, 13.1 ov), 4-139 (Raj Bawa, 13.2 ov), 5-156 (Liam Livingstone, 14.5 ov)","Fall of wickets: 1-71 (Mayank Agarwal, 7.1 ov), 2-118 (Shikhar Dhawan, 11.2 ov), 3-139 (Bhanuka Rajapaksa, 13.1 ov), 4-139 (Raj Bawa, 13.2 ov), 5-156 (Liam Livingstone, 14.5 ov)",
0,KL Rahul (c),c †Wade b Mohammed Shami,0,1,3,0,0,0.00,,
1,,,,,,,,,,
2,Quinton de Kock †,b Mohammed Shami,7,9,17,1,0,77.77,,
3,,,,,,,,,,
4,Evin Lewis,c Shubman Gill b Aaron,10,9,21,2,0,111.11,,
5,,,,,,,,,,
6,Manish Pandey,b Mohammed Shami,6,5,14,1,0,120.00,,
7,,,,,,,,,,
8,Deepak Hooda,lbw b Rashid Khan,55,41,62,6,2,134.14,,
9,,,,,,,,,,
10,Ayush Badoni,c Pandya b Aaron,54,41,78,4,3,131.70,,
11,,,,,,,,,,
12,Krunal Pandya,not out,21,13,26,3,0,161.53,,
13,Dushmantha Chameera,not out,1,1,2,0,0,100.00,,
14,Extras,(w 4),4,,,,,,,
15,TOTAL,20 Ov (RR: 7.90),158/6,,,,,,,
16,"Did not bat: Mohsin Khan, Ravi Bishnoi, Avesh Khan","Did not bat: Mohsin Khan, Ravi Bishnoi, Avesh Khan","Did not bat: Mohsin Khan, Ravi Bishnoi, Avesh Khan","Did not bat: Mohsin Khan, Ravi Bishnoi, Avesh Khan","Did not bat: Mohsin Khan, Ravi Bishnoi, Avesh Khan","Did not bat: Mohsin Khan, Ravi Bishnoi, Avesh Khan","Did not bat: Mohsin Khan, Ravi Bishnoi, Avesh Khan","Did not bat: Mohsin Khan, Ravi Bishnoi, Avesh Khan","Did not bat: Mohsin Khan, Ravi Bishnoi, Avesh Khan",
