,BATTING,Unnamed: 1,R,B,M,4s,6s,SR,Unnamed: 8,Unnamed: 9
17,"Fall of wickets: 1-42 (Jos Buttler, 5.1 ov), 2-60 (Sanju Samson, 8.3 ov), 3-64 (Devdutt Padikkal, 9.1 ov), 4-67 (Rassie van der Dussen, 9.5 ov), 5-135 (Ravichandran Ashwin, 18.2 ov), 6-163 (Riyan Parag, 19.5 ov)","Fall of wickets: 1-42 (Jos Buttler, 5.1 ov), 2-60 (Sanju Samson, 8.3 ov), 3-64 (Devdutt Padikkal, 9.1 ov), 4-67 (Rassie van der Dussen, 9.5 ov), 5-135 (Ravichandran Ashwin, 18.2 ov), 6-163 (Riyan Parag, 19.5 ov)","Fall of wickets: 1-42 (Jos Buttler, 5.1 ov), 2-60 (Sanju Samson, 8.3 ov), 3-64 (Devdutt Padikkal, 9.1 ov), 4-67 (Rassie van der Dussen, 9.5 ov), 5-135 (Ravichandran Ashwin, 18.2 ov), 6-163 (Riyan Parag, 19.5 ov)","Fall of wickets: 1-42 (Jos Buttler, 5.1 ov), 2-60 (Sanju Samson, 8.3 ov), 3-64 (Devdutt Padikkal, 9.1 ov), 4-67 (Rassie van der Dussen, 9.5 ov), 5-135 (Ravichandran Ashwin, 18.2 ov), 6-163 (Riyan Parag, 19.5 ov)","Fall of wickets: 1-42 (Jos Buttler, 5.1 ov), 2-60 (Sanju Samson, 8.3 ov), 3-64 (Devdutt Padikkal, 9.1 ov), 4-67 (Rassie van der Dussen, 9.5 ov), 5-135 (Ravichandran Ashwin, 18.2 ov), 6-163 (Riyan Parag, 19.5 ov)","Fall of wickets: 1-42 (Jos Buttler, 5.1 ov), 2-60 (Sanju Samson, 8.3 ov), 3-64 (Devdutt Padikkal, 9.1 ov), 4-67 (Rassie van der Dussen, 9.5 ov), 5-135 (Ravichandran Ashwin, 18.2 ov), 6-163 (Riyan Parag, 19.5 ov)","Fall of wickets: 1-42 (Jos Buttler, 5.1 ov), 2-60 (Sanju Samson, 8.3 ov), 3-64 (Devdutt Padikkal, 9.1 ov), 4-67 (Rassie van der Dussen, 9.5 ov), 5-135 (Ravichandran Ashwin, 18.2 ov), 6-163 (Riyan Parag, 19.5 ov)","Fall of wickets: 1-42 (Jos Buttler, 5.1 ov), 2-60 (Sanju Samson, 8.3 ov), 3-64 (Devdutt Padikkal, 9.1 ov), 4-67 (Rassie van der Dussen, 9.5 ov), 5-135 (Ravichandran Ashwin, 18.2 ov), 6-163 (Riyan Parag, 19.5 ov)","Fall of wickets: 1-42 (Jos Buttler, 5.1 ov), 2-60 (Sanju Samson, 8.3 ov), 3-64 (Devdutt Padikkal, 9.1 ov), 4-67 (Rassie van der Dussen, 9.5 ov), 5-135 (Ravichandran Ashwin, 18.2 ov), 6-163 (Riyan Parag, 19.5 ov)",
0,KL Rahul (c),b Boult,0,1,1,0,0,0.00,,
1,,,,,,,,,,
2,Quinton de Kock †,c Parag b Chahal,39,32,80,2,1,121.87,,
3,,,,,,,,,,
4,Krishnappa Gowtham,lbw b Boult,0,1,3,0,0,0.00,,
5,,,,,,,,,,
6,Jason Holder,c Ashwin b Prasidh Krishna,8,14,17,2,0,57.14,,
7,,,,,,,,,,
8,Deepak Hooda,b Sen,25,24,28,3,0,104.16,,
9,,,,,,,,,,
10,Ayush Badoni,c Parag b Chahal,5,7,16,0,0,71.42,,
11,,,,,,,,,,
12,Krunal Pandya,b Chahal,22,15,24,2,0,146.66,,
13,,,,,,,,,,
14,Marcus Stoinis,not out,38,17,35,2,4,223.52,,
15,Dushmantha Chameera,lbw b Chahal,13,7,15,2,0,185.71,,
16,,,,,,,,,,
17,Avesh Khan,not out,7,2,19,0,1,350.00,,
18,Extras,"(lb 1, w 4)",5,,,,,,,
19,TOTAL,20 Ov (RR: 8.10),162/8,,,,,,,
20,Did not bat: Ravi Bishnoi,Did not bat: Ravi Bishnoi,Did not bat: Ravi Bishnoi,Did not bat: Ravi Bishnoi,Did not bat: Ravi Bishnoi,Did not bat: Ravi Bishnoi,Did not bat: Ravi Bishnoi,Did not bat: Ravi Bishnoi,Did not bat: Ravi Bishnoi,
21,"Fall of wickets: 1-0 (KL Rahul, 0.1 ov), 2-1 (Krishnappa Gowtham, 0.2 ov), 3-14 (Jason Holder, 3.3 ov), 4-52 (Deepak Hooda, 9.1 ov), 5-74 (Ayush Badoni, 11.6 ov), 6-101 (Quinton de Kock, 15.3 ov), 7-102 (Krunal Pandya, 15.5 ov), 8-126 (Dushmantha Chameera, 17.5 ov)","Fall of wickets: 1-0 (KL Rahul, 0.1 ov), 2-1 (Krishnappa Gowtham, 0.2 ov), 3-14 (Jason Holder, 3.3 ov), 4-52 (Deepak Hooda, 9.1 ov), 5-74 (Ayush Badoni, 11.6 ov), 6-101 (Quinton de Kock, 15.3 ov), 7-102 (Krunal Pandya, 15.5 ov), 8-126 (Dushmantha Chameera, 17.5 ov)","Fall of wickets: 1-0 (KL Rahul, 0.1 ov), 2-1 (Krishnappa Gowtham, 0.2 ov), 3-14 (Jason Holder, 3.3 ov), 4-52 (Deepak Hooda, 9.1 ov), 5-74 (Ayush Badoni, 11.6 ov), 6-101 (Quinton de Kock, 15.3 ov), 7-102 (Krunal Pandya, 15.5 ov), 8-126 (Dushmantha Chameera, 17.5 ov)","Fall of wickets: 1-0 (KL Rahul, 0.1 ov), 2-1 (Krishnappa Gowtham, 0.2 ov), 3-14 (Jason Holder, 3.3 ov), 4-52 (Deepak Hooda, 9.1 ov), 5-74 (Ayush Badoni, 11.6 ov), 6-101 (Quinton de Kock, 15.3 ov), 7-102 (Krunal Pandya, 15.5 ov), 8-126 (Dushmantha Chameera, 17.5 ov)","Fall of wickets: 1-0 (KL Rahul, 0.1 ov), 2-1 (Krishnappa Gowtham, 0.2 ov), 3-14 (Jason Holder, 3.3 ov), 4-52 (Deepak Hooda, 9.1 ov), 5-74 (Ayush Badoni, 11.6 ov), 6-101 (Quinton de Kock, 15.3 ov), 7-102 (Krunal Pandya, 15.5 ov), 8-126 (Dushmantha Chameera, 17.5 ov)","Fall of wickets: 1-0 (KL Rahul, 0.1 ov), 2-1 (Krishnappa Gowtham, 0.2 ov), 3-14 (Jason Holder, 3.3 ov), 4-52 (Deepak Hooda, 9.1 ov), 5-74 (Ayush Badoni, 11.6 ov), 6-101 (Quinton de Kock, 15.3 ov), 7-102 (Krunal Pandya, 15.5 ov), 8-126 (Dushmantha Chameera, 17.5 ov)","Fall of wickets: 1-0 (KL Rahul, 0.1 ov), 2-1 (Krishnappa Gowtham, 0.2 ov), 3-14 (Jason Holder, 3.3 ov), 4-52 (Deepak Hooda, 9.1 ov), 5-74 (Ayush Badoni, 11.6 ov), 6-101 (Quinton de Kock, 15.3 ov), 7-102 (Krunal Pandya, 15.5 ov), 8-126 (Dushmantha Chameera, 17.5 ov)","Fall of wickets: 1-0 (KL Rahul, 0.1 ov), 2-1 (Krishnappa Gowtham, 0.2 ov), 3-14 (Jason Holder, 3.3 ov), 4-52 (Deepak Hooda, 9.1 ov), 5-74 (Ayush Badoni, 11.6 ov), 6-101 (Quinton de Kock, 15.3 ov), 7-102 (Krunal Pandya, 15.5 ov), 8-126 (Dushmantha Chameera, 17.5 ov)","Fall of wickets: 1-0 (KL Rahul, 0.1 ov), 2-1 (Krishnappa Gowtham, 0.2 ov), 3-14 (Jason Holder, 3.3 ov), 4-52 (Deepak Hooda, 9.1 ov), 5-74 (Ayush Badoni, 11.6 ov), 6-101 (Quinton de Kock, 15.3 ov), 7-102 (Krunal Pandya, 15.5 ov), 8-126 (Dushmantha Chameera, 17.5 ov)",
0,Matthew Wade †,lbw b Umran Malik,19,19,40,3,0,100.00,,
1,,,,,,,,,,
2,Shubman Gill,c Tripathi b Kumar,7,9,14,1,0,77.77,,
3,,,,,,,,,,
4,Sai Sudharsan,c Williamson b Natarajan,11,9,16,2,0,122.22,,
5,,,,,,,,,,
6,Hardik Pandya (c),not out,50,42,73,4,1,119.04,,
7,David Miller,c Abhishek Sharma b Jansen,12,15,28,0,0,80.00,,
8,,,,,,,,,,
9,Abhinav Manohar,c Tripathi b Kumar,35,21,29,5,1,166.66,,
10,,,,,,,,,,
11,Rahul Tewatia,run out (†Pooran/Natarajan),6,4,7,1,0,150.00,,
12,,,,,,,,,,
13,Rashid Khan,b Natarajan,0,1,2,0,0,0.00,,
14,,,,,,,,,,
15,Extras,"(lb 2, w 20)",22,,,,,,,
16,TOTAL,20 Ov (RR: 8.10),162/7,,,,,,,
17,"Did not bat: Darshan Nalkande, Mohammed Shami, Lockie Ferguson","Did not bat: Darshan Nalkande, Mohammed Shami, Lockie Ferguson","Did not bat: Darshan Nalkande, Mohammed Shami, Lockie Ferguson","Did not bat: Darshan Nalkande, Mohammed Shami, Lockie Ferguson","Did not bat: Darshan Nalkande, Mohammed Shami, Lockie Ferguson","Did not bat: Darshan Nalkande, Mohammed Shami, Lockie Ferguson","Did not bat: Darshan Nalkande, Mohammed Shami, Lockie Ferguson","Did not bat: Darshan Nalkande, Mohammed Shami, Lockie Ferguson","Did not bat: Darshan Nalkande, Mohammed Shami, Lockie Ferguson",
18,"Fall of wickets: 1-24 (Shubman Gill, 2.2 ov), 2-47 (Sai Sudharsan, 5.4 ov), 3-64 (Matthew Wade, 7.6 ov), 4-104 (David Miller, 13.3 ov), 5-154 (Abhinav Manohar, 18.5 ov), 6-161 (Rahul Tewatia, 19.4 ov), 7-162 (Rashid Khan, 19.6 ov)","Fall of wickets: 1-24 (Shubman Gill, 2.2 ov), 2-47 (Sai Sudharsan, 5.4 ov), 3-64 (Matthew Wade, 7.6 ov), 4-104 (David Miller, 13.3 ov), 5-154 (Abhinav Manohar, 18.5 ov), 6-161 (Rahul Tewatia, 19.4 ov), 7-162 (Rashid Khan, 19.6 ov)","Fall of wickets: 1-24 (Shubman Gill, 2.2 ov), 2-47 (Sai Sudharsan, 5.4 ov), 3-64 (Matthew Wade, 7.6 ov), 4-104 (David Miller, 13.3 ov), 5-154 (Abhinav Manohar, 18.5 ov), 6-161 (Rahul Tewatia, 19.4 ov), 7-162 (Rashid Khan, 19.6 ov)","Fall of wickets: 1-24 (Shubman Gill, 2.2 ov), 2-47 (Sai Sudharsan, 5.4 ov), 3-64 (Matthew Wade, 7.6 ov), 4-104 (David Miller, 13.3 ov), 5-154 (Abhinav Manohar, 18.5 ov), 6-161 (Rahul Tewatia, 19.4 ov), 7-162 (Rashid Khan, 19.6 ov)","Fall of wickets: 1-24 (Shubman Gill, 2.2 ov), 2-47 (Sai Sudharsan, 5.4 ov), 3-64 (Matthew Wade, 7.6 ov), 4-104 (David Miller, 13.3 ov), 5-154 (Abhinav Manohar, 18.5 ov), 6-161 (Rahul Tewatia, 19.4 ov), 7-162 (Rashid Khan, 19.6 ov)","Fall of wickets: 1-24 (Shubman Gill, 2.2 ov), 2-47 (Sai Sudharsan, 5.4 ov), 3-64 (Matthew Wade, 7.6 ov), 4-104 (David Miller, 13.3 ov), 5-154 (Abhinav Manohar, 18.5 ov), 6-161 (Rahul Tewatia, 19.4 ov), 7-162 (Rashid Khan, 19.6 ov)","Fall of wickets: 1-24 (Shubman Gill, 2.2 ov), 2-47 (Sai Sudharsan, 5.4 ov), 3-64 (Matthew Wade, 7.6 ov), 4-104 (David Miller, 13.3 ov), 5-154 (Abhinav Manohar, 18.5 ov), 6-161 (Rahul Tewatia, 19.4 ov), 7-162 (Rashid Khan, 19.6 ov)","Fall of wickets: 1-24 (Shubman Gill, 2.2 ov), 2-47 (Sai Sudharsan, 5.4 ov), 3-64 (Matthew Wade, 7.6 ov), 4-104 (David Miller, 13.3 ov), 5-154 (Abhinav Manohar, 18.5 ov), 6-161 (Rahul Tewatia, 19.4 ov), 7-162 (Rashid Khan, 19.6 ov)","Fall of wickets: 1-24 (Shubman Gill, 2.2 ov), 2-47 (Sai Sudharsan, 5.4 ov), 3-64 (Matthew Wade, 7.6 ov), 4-104 (David Miller, 13.3 ov), 5-154 (Abhinav Manohar, 18.5 ov), 6-161 (Rahul Tewatia, 19.4 ov), 7-162 (Rashid Khan, 19.6 ov)",
0,Abhishek Sharma,c Sai Sudharsan b Rashid Khan,42,32,44,6,0,131.25,,
1,,,,,,,,,,
2,Kane Williamson (c),c Tewatia b Pandya,57,46,86,2,4,123.91,,
3,,,,,,,,,,
4,Rahul Tripathi,retired not out,17,11,27,1,1,154.54,,
5,Nicholas Pooran †,not out,34,18,33,2,2,188.88,,
6,Aiden Markram,not out,12,8,17,1,0,150.00,,
7,Extras,"(b 1, lb 2, w 3)",6,,,,,,,
8,TOTAL,19.1 Ov (RR: 8.76),168/2,,,,,,,
9,"Did not bat: Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, T Natarajan, Umran Malik","Did not bat: Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, T Natarajan, Umran Malik","Did not bat: Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, T Natarajan, Umran Malik","Did not bat: Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, T Natarajan, Umran Malik","Did not bat: Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, T Natarajan, Umran Malik","Did not bat: Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, T Natarajan, Umran Malik","Did not bat: Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, T Natarajan, Umran Malik","Did not bat: Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, T Natarajan, Umran Malik","Did not bat: Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, T Natarajan, Umran Malik",
10,"Fall of wickets: 1-64 (Abhishek Sharma, 8.5 ov), 1-104* (Rahul Tripathi, retired not out), 2-129 (Kane Williamson, 16.1 ov)","Fall of wickets: 1-64 (Abhishek Sharma, 8.5 ov), 1-104* (Rahul Tripathi, retired not out), 2-129 (Kane Williamson, 16.1 ov)","Fall of wickets: 1-64 (Abhishek Sharma, 8.5 ov), 1-104* (Rahul Tripathi, retired not out), 2-129 (Kane Williamson, 16.1 ov)","Fall of wickets: 1-64 (Abhishek Sharma, 8.5 ov), 1-104* (Rahul Tripathi, retired not out), 2-129 (Kane Williamson, 16.1 ov)","Fall of wickets: 1-64 (Abhishek Sharma, 8.5 ov), 1-104* (Rahul Tripathi, retired not out), 2-129 (Kane Williamson, 16.1 ov)","Fall of wickets: 1-64 (Abhishek Sharma, 8.5 ov), 1-104* (Rahul Tripathi, retired not out), 2-129 (Kane Williamson, 16.1 ov)","Fall of wickets: 1-64 (Abhishek Sharma, 8.5 ov), 1-104* (Rahul Tripathi, retired not out), 2-129 (Kane Williamson, 16.1 ov)","Fall of wickets: 1-64 (Abhishek Sharma, 8.5 ov), 1-104* (Rahul Tripathi, retired not out), 2-129 (Kane Williamson, 16.1 ov)","Fall of wickets: 1-64 (Abhishek Sharma, 8.5 ov), 1-104* (Rahul Tripathi, retired not out), 2-129 (Kane Williamson, 16.1 ov)",
0,Ruturaj Gaikwad,lbw b Hazlewood,17,16,19,3,0,106.25,,
1,,,,,,,,,,
2,Robin Uthappa,c Kohli b de Silva,88,50,98,4,9,176.00,,
3,,,,,,,,,,
4,Moeen Ali,run out (Prabhudessai/†Karthik),3,8,16,0,0,37.50,,
5,,,,,,,,,,
6,Shivam Dube,not out,95,46,73,5,8,206.52,,
7,Ravindra Jadeja (c),c Anuj Rawat b de Silva,0,1,2,0,0,0.00,,
8,,,,,,,,,,
9,MS Dhoni †,not out,0,0,8,0,0,-,,
10,Extras,"(b 4, lb 2, nb 1, w 6)",13,,,,,,,
11,TOTAL,20 Ov (RR: 10.80),216/4,,,,,,,
12,"Did not bat: Ambati Rayudu, Dwayne Bravo, Chris Jordan, Maheesh Theekshana, Mukesh Choudhary","Did not bat: Ambati Rayudu, Dwayne Bravo, Chris Jordan, Maheesh Theekshana, Mukesh Choudhary","Did not bat: Ambati Rayudu, Dwayne Bravo, Chris Jordan, Maheesh Theekshana, Mukesh Choudhary","Did not bat: Ambati Rayudu, Dwayne Bravo, Chris Jordan, Maheesh Theekshana, Mukesh Choudhary","Did not bat: Ambati Rayudu, Dwayne Bravo, Chris Jordan, Maheesh Theekshana, Mukesh Choudhary","Did not bat: Ambati Rayudu, Dwayne Bravo, Chris Jordan, Maheesh Theekshana, Mukesh Choudhary","Did not bat: Ambati Rayudu, Dwayne Bravo, Chris Jordan, Maheesh Theekshana, Mukesh Choudhary","Did not bat: Ambati Rayudu, Dwayne Bravo, Chris Jordan, Maheesh Theekshana, Mukesh Choudhary","Did not bat: Ambati Rayudu, Dwayne Bravo, Chris Jordan, Maheesh Theekshana, Mukesh Choudhary",
13,"Fall of wickets: 1-19 (Ruturaj Gaikwad, 3.4 ov), 2-36 (Moeen Ali, 6.4 ov), 3-201 (Robin Uthappa, 18.5 ov), 4-201 (Ravindra Jadeja, 18.6 ov)","Fall of wickets: 1-19 (Ruturaj Gaikwad, 3.4 ov), 2-36 (Moeen Ali, 6.4 ov), 3-201 (Robin Uthappa, 18.5 ov), 4-201 (Ravindra Jadeja, 18.6 ov)","Fall of wickets: 1-19 (Ruturaj Gaikwad, 3.4 ov), 2-36 (Moeen Ali, 6.4 ov), 3-201 (Robin Uthappa, 18.5 ov), 4-201 (Ravindra Jadeja, 18.6 ov)","Fall of wickets: 1-19 (Ruturaj Gaikwad, 3.4 ov), 2-36 (Moeen Ali, 6.4 ov), 3-201 (Robin Uthappa, 18.5 ov), 4-201 (Ravindra Jadeja, 18.6 ov)","Fall of wickets: 1-19 (Ruturaj Gaikwad, 3.4 ov), 2-36 (Moeen Ali, 6.4 ov), 3-201 (Robin Uthappa, 18.5 ov), 4-201 (Ravindra Jadeja, 18.6 ov)","Fall of wickets: 1-19 (Ruturaj Gaikwad, 3.4 ov), 2-36 (Moeen Ali, 6.4 ov), 3-201 (Robin Uthappa, 18.5 ov), 4-201 (Ravindra Jadeja, 18.6 ov)","Fall of wickets: 1-19 (Ruturaj Gaikwad, 3.4 ov), 2-36 (Moeen Ali, 6.4 ov), 3-201 (Robin Uthappa, 18.5 ov), 4-201 (Ravindra Jadeja, 18.6 ov)","Fall of wickets: 1-19 (Ruturaj Gaikwad, 3.4 ov), 2-36 (Moeen Ali, 6.4 ov), 3-201 (Robin Uthappa, 18.5 ov), 4-201 (Ravindra Jadeja, 18.6 ov)","Fall of wickets: 1-19 (Ruturaj Gaikwad, 3.4 ov), 2-36 (Moeen Ali, 6.4 ov), 3-201 (Robin Uthappa, 18.5 ov), 4-201 (Ravindra Jadeja, 18.6 ov)",
0,Faf du Plessis (c),c Jordan b Theekshana,8,9,13,0,0,88.88,,
1,,,,,,,,,,
2,Anuj Rawat,lbw b Theekshana,12,16,28,1,0,75.00,,
3,,,,,,,,,,
4,Virat Kohli,c Dube b Mukesh Choudhary,1,3,7,0,0,33.33,,
5,,,,,,,,,,
6,Glenn Maxwell,b Jadeja,26,11,15,2,2,236.36,,
7,,,,,,,,,,
8,Shahbaz Ahmed,b Theekshana,41,27,47,4,0,151.85,,
9,,,,,,,,,,
10,Suyash Prabhudessai,b Theekshana,34,18,29,5,1,188.88,,
11,,,,,,,,,,
12,Dinesh Karthik †,c Jadeja b Bravo,34,14,38,2,3,242.85,,
13,,,,,,,,,,
14,Wanindu Hasaranga de Silva,c Jordan b Jadeja,7,3,5,0,1,233.33,,
15,,,,,,,,,,
16,Akash Deep,c Rayudu b Jadeja,0,2,2,0,0,0.00,,
17,,,,,,,,,,
18,Mohammed Siraj,not out,14,11,26,3,0,127.27,,
19,Josh Hazlewood,not out,7,7,12,0,0,100.00,,
20,Extras,"(nb 1, w 8)",9,,,,,,,
21,TOTAL,20 Ov (RR: 9.65),193/9,,,,,,,
22,"Fall of wickets: 1-14 (Faf du Plessis, 2.5 ov), 2-20 (Virat Kohli, 4.1 ov), 3-42 (Anuj Rawat, 5.6 ov), 4-50 (Glenn Maxwell, 6.5 ov), 5-110 (Suyash Prabhudessai, 12.2 ov), 6-133 (Shahbaz Ahmed, 14.3 ov), 7-146 (Wanindu Hasaranga de Silva, 15.2 ov), 8-146 (Akash Deep, 15.4 ov), 9-171 (Dinesh Karthik, 17.2 ov)","Fall of wickets: 1-14 (Faf du Plessis, 2.5 ov), 2-20 (Virat Kohli, 4.1 ov), 3-42 (Anuj Rawat, 5.6 ov), 4-50 (Glenn Maxwell, 6.5 ov), 5-110 (Suyash Prabhudessai, 12.2 ov), 6-133 (Shahbaz Ahmed, 14.3 ov), 7-146 (Wanindu Hasaranga de Silva, 15.2 ov), 8-146 (Akash Deep, 15.4 ov), 9-171 (Dinesh Karthik, 17.2 ov)","Fall of wickets: 1-14 (Faf du Plessis, 2.5 ov), 2-20 (Virat Kohli, 4.1 ov), 3-42 (Anuj Rawat, 5.6 ov), 4-50 (Glenn Maxwell, 6.5 ov), 5-110 (Suyash Prabhudessai, 12.2 ov), 6-133 (Shahbaz Ahmed, 14.3 ov), 7-146 (Wanindu Hasaranga de Silva, 15.2 ov), 8-146 (Akash Deep, 15.4 ov), 9-171 (Dinesh Karthik, 17.2 ov)","Fall of wickets: 1-14 (Faf du Plessis, 2.5 ov), 2-20 (Virat Kohli, 4.1 ov), 3-42 (Anuj Rawat, 5.6 ov), 4-50 (Glenn Maxwell, 6.5 ov), 5-110 (Suyash Prabhudessai, 12.2 ov), 6-133 (Shahbaz Ahmed, 14.3 ov), 7-146 (Wanindu Hasaranga de Silva, 15.2 ov), 8-146 (Akash Deep, 15.4 ov), 9-171 (Dinesh Karthik, 17.2 ov)","Fall of wickets: 1-14 (Faf du Plessis, 2.5 ov), 2-20 (Virat Kohli, 4.1 ov), 3-42 (Anuj Rawat, 5.6 ov), 4-50 (Glenn Maxwell, 6.5 ov), 5-110 (Suyash Prabhudessai, 12.2 ov), 6-133 (Shahbaz Ahmed, 14.3 ov), 7-146 (Wanindu Hasaranga de Silva, 15.2 ov), 8-146 (Akash Deep, 15.4 ov), 9-171 (Dinesh Karthik, 17.2 ov)","Fall of wickets: 1-14 (Faf du Plessis, 2.5 ov), 2-20 (Virat Kohli, 4.1 ov), 3-42 (Anuj Rawat, 5.6 ov), 4-50 (Glenn Maxwell, 6.5 ov), 5-110 (Suyash Prabhudessai, 12.2 ov), 6-133 (Shahbaz Ahmed, 14.3 ov), 7-146 (Wanindu Hasaranga de Silva, 15.2 ov), 8-146 (Akash Deep, 15.4 ov), 9-171 (Dinesh Karthik, 17.2 ov)","Fall of wickets: 1-14 (Faf du Plessis, 2.5 ov), 2-20 (Virat Kohli, 4.1 ov), 3-42 (Anuj Rawat, 5.6 ov), 4-50 (Glenn Maxwell, 6.5 ov), 5-110 (Suyash Prabhudessai, 12.2 ov), 6-133 (Shahbaz Ahmed, 14.3 ov), 7-146 (Wanindu Hasaranga de Silva, 15.2 ov), 8-146 (Akash Deep, 15.4 ov), 9-171 (Dinesh Karthik, 17.2 ov)","Fall of wickets: 1-14 (Faf du Plessis, 2.5 ov), 2-20 (Virat Kohli, 4.1 ov), 3-42 (Anuj Rawat, 5.6 ov), 4-50 (Glenn Maxwell, 6.5 ov), 5-110 (Suyash Prabhudessai, 12.2 ov), 6-133 (Shahbaz Ahmed, 14.3 ov), 7-146 (Wanindu Hasaranga de Silva, 15.2 ov), 8-146 (Akash Deep, 15.4 ov), 9-171 (Dinesh Karthik, 17.2 ov)","Fall of wickets: 1-14 (Faf du Plessis, 2.5 ov), 2-20 (Virat Kohli, 4.1 ov), 3-42 (Anuj Rawat, 5.6 ov), 4-50 (Glenn Maxwell, 6.5 ov), 5-110 (Suyash Prabhudessai, 12.2 ov), 6-133 (Shahbaz Ahmed, 14.3 ov), 7-146 (Wanindu Hasaranga de Silva, 15.2 ov), 8-146 (Akash Deep, 15.4 ov), 9-171 (Dinesh Karthik, 17.2 ov)",
0,Mayank Agarwal (c),c Yadav b Ashwin,52,32,51,6,2,162.50,,
1,,,,,,,,,,
2,Shikhar Dhawan,c Pollard b Basil Thampi,70,50,91,5,3,140.00,,
3,,,,,,,,,,
4,Jonny Bairstow,b Unadkat,12,13,21,1,0,92.30,,
5,,,,,,,,,,
6,Liam Livingstone,b Bumrah,2,3,6,0,0,66.66,,
7,,,,,,,,,,
8,Jitesh Sharma †,not out,30,15,32,2,2,200.00,,
9,M Shahrukh Khan,b Basil Thampi,15,6,17,0,2,250.00,,
10,,,,,,,,,,
11,Odean Smith,not out,1,1,2,0,0,100.00,,
12,Extras,"(lb 8, w 8)",16,,,,,,,
13,TOTAL,20 Ov (RR: 9.90),198/5,,,,,,,
14,"Did not bat: Kagiso Rabada, Rahul Chahar, Vaibhav Arora, Arshdeep Singh","Did not bat: Kagiso Rabada, Rahul Chahar, Vaibhav Arora, Arshdeep Singh","Did not bat: Kagiso Rabada, Rahul Chahar, Vaibhav Arora, Arshdeep Singh","Did not bat: Kagiso Rabada, Rahul Chahar, Vaibhav Arora, Arshdeep Singh","Did not bat: Kagiso Rabada, Rahul Chahar, Vaibhav Arora, Arshdeep Singh","Did not bat: Kagiso Rabada, Rahul Chahar, Vaibhav Arora, Arshdeep Singh","Did not bat: Kagiso Rabada, Rahul Chahar, Vaibhav Arora, Arshdeep Singh","Did not bat: Kagiso Rabada, Rahul Chahar, Vaibhav Arora, Arshdeep Singh","Did not bat: Kagiso Rabada, Rahul Chahar, Vaibhav Arora, Arshdeep Singh",
15,"Fall of wickets: 1-97 (Mayank Agarwal, 9.3 ov), 2-127 (Jonny Bairstow, 13.5 ov), 3-130 (Liam Livingstone, 14.3 ov), 4-151 (Shikhar Dhawan, 16.6 ov), 5-197 (M Shahrukh Khan, 19.4 ov)","Fall of wickets: 1-97 (Mayank Agarwal, 9.3 ov), 2-127 (Jonny Bairstow, 13.5 ov), 3-130 (Liam Livingstone, 14.3 ov), 4-151 (Shikhar Dhawan, 16.6 ov), 5-197 (M Shahrukh Khan, 19.4 ov)","Fall of wickets: 1-97 (Mayank Agarwal, 9.3 ov), 2-127 (Jonny Bairstow, 13.5 ov), 3-130 (Liam Livingstone, 14.3 ov), 4-151 (Shikhar Dhawan, 16.6 ov), 5-197 (M Shahrukh Khan, 19.4 ov)","Fall of wickets: 1-97 (Mayank Agarwal, 9.3 ov), 2-127 (Jonny Bairstow, 13.5 ov), 3-130 (Liam Livingstone, 14.3 ov), 4-151 (Shikhar Dhawan, 16.6 ov), 5-197 (M Shahrukh Khan, 19.4 ov)","Fall of wickets: 1-97 (Mayank Agarwal, 9.3 ov), 2-127 (Jonny Bairstow, 13.5 ov), 3-130 (Liam Livingstone, 14.3 ov), 4-151 (Shikhar Dhawan, 16.6 ov), 5-197 (M Shahrukh Khan, 19.4 ov)","Fall of wickets: 1-97 (Mayank Agarwal, 9.3 ov), 2-127 (Jonny Bairstow, 13.5 ov), 3-130 (Liam Livingstone, 14.3 ov), 4-151 (Shikhar Dhawan, 16.6 ov), 5-197 (M Shahrukh Khan, 19.4 ov)","Fall of wickets: 1-97 (Mayank Agarwal, 9.3 ov), 2-127 (Jonny Bairstow, 13.5 ov), 3-130 (Liam Livingstone, 14.3 ov), 4-151 (Shikhar Dhawan, 16.6 ov), 5-197 (M Shahrukh Khan, 19.4 ov)","Fall of wickets: 1-97 (Mayank Agarwal, 9.3 ov), 2-127 (Jonny Bairstow, 13.5 ov), 3-130 (Liam Livingstone, 14.3 ov), 4-151 (Shikhar Dhawan, 16.6 ov), 5-197 (M Shahrukh Khan, 19.4 ov)","Fall of wickets: 1-97 (Mayank Agarwal, 9.3 ov), 2-127 (Jonny Bairstow, 13.5 ov), 3-130 (Liam Livingstone, 14.3 ov), 4-151 (Shikhar Dhawan, 16.6 ov), 5-197 (M Shahrukh Khan, 19.4 ov)",
