,Batsman,Status,Runs,Balls,Fours,Sixes,Out
1952,David Warner,lbw b Theekshana,19,12,1,2,True
1954,Srikar Bharat,c Ali b Simarjeet Singh,8,5,2,0,True
1956,Mitchell Marsh,c Gaikwad b Ali,25,20,3,1,True
1958,Rishabh Pant,b Ali,21,11,4,0,True
1960,Rovman Powell,c †Dhoni b Mukesh Choudhary,3,9,0,0,True
1962,Ripal Patel,c Conway b Ali,6,3,0,1,True
1964,Axar Patel,b Mukesh Choudhary,1,3,0,0,True
1966,Shardul Thakur,c †Dhoni b Bravo,24,19,2,1,True
1968,Kuldeep Yadav,c Uthappa b Simarjeet Singh,5,17,0,0,True
1970,Anrich Nortje,not out,1,6,0,0,False
1971,Khaleel Ahmed,b Bravo,0,1,0,0,True
1976,Venkatesh Iyer,c Sams b Kartikeya,43,24,3,4,True
1978,Ajinkya Rahane,b Kartikeya,25,24,3,0,True
1980,Nitish Rana,c †Ishan Kishan b Bumrah,43,26,3,4,True
1982,Shreyas Iyer,c †Ishan Kishan b Ashwin,6,8,1,0,True
1984,Andre Russell,c Pollard b Bumrah,9,5,0,1,True
1986,Rinku Singh,not out,23,19,2,1,False
1987,Sheldon Jackson,c Sams b Bumrah,5,7,0,0,True
1989,Pat Cummins,c Tilak Varma b Bumrah,0,2,0,0,True
1991,Sunil Narine,c & b Bumrah,0,1,0,0,True
1993,Tim Southee,c Pollard b Sams,0,4,0,0,True
1995,Varun Chakravarthy,not out,0,0,0,0,False
1999,Rohit Sharma,c †Jackson b Southee,2,6,0,0,True
2001,Ishan Kishan,c Singh b Cummins,51,43,5,1,True
2003,Tilak Varma,c Rana b Russell,6,5,1,0,True
2005,Ramandeep Singh,c Rana b Russell,12,16,0,0,True
2007,Tim David,c Rahane b Varun,13,9,3,0,True
2009,Kieron Pollard,run out (Varun/SS Iyer),15,16,0,1,True
2011,Daniel Sams,c †Jackson b Cummins,1,2,0,0,True
2013,Murugan Ashwin,c Varun b Cummins,0,2,0,0,True
2015,Kumar Kartikeya,run out (Rahane/†Jackson),3,5,0,0,True
2017,Jasprit Bumrah,run out (Singh),0,0,0,0,True
2019,Riley Meredith,not out,0,1,0,0,False
2023,Wriddhiman Saha,c Avesh Khan b Mohsin Khan,5,11,1,0,True
2025,Shubman Gill,not out,63,49,7,0,False
2026,Matthew Wade,c †de Kock b Avesh Khan,10,7,2,0,True
2028,Hardik Pandya,c †de Kock b Avesh Khan,11,13,0,0,True
2030,David Miller,c Badoni b Holder,26,24,1,1,True
2032,Rahul Tewatia,not out,22,16,4,0,False
2037,Quinton de Kock,c Sai Kishore b Yash Dayal,11,10,0,1,True
2039,KL Rahul,c †Saha b Mohammed Shami,8,16,1,0,True
2041,Deepak Hooda,c Mohammed Shami b Rashid Khan,27,26,3,0,True
2043,Karan Sharma,c Miller b Yash Dayal,4,4,1,0,True
2045,Krunal Pandya,st †Saha b Rashid Khan,5,5,1,0,True
2047,Ayush Badoni,st †Saha b Sai Kishore,8,11,1,0,True
2049,Marcus Stoinis,run out (Miller/†Saha),2,2,0,0,True
2051,Jason Holder,lbw b Rashid Khan,1,2,0,0,True
2053,Mohsin Khan,c Rashid Khan b Sai Kishore,1,3,0,0,True
2055,Dushmantha Chameera,not out,0,0,0,0,False
2056,Avesh Khan,c †Saha b Rashid Khan,12,4,0,2,True
2061,Yashasvi Jaiswal,c Lalit Yadav b Marsh,19,19,1,1,True
2063,Jos Buttler,c Thakur b Sakariya,7,11,1,0,True
